Workbook row,Priority,Keyword,Language,Source type,Intent,Origin,Destination,Service / modifier,Recommended cluster,Current page,Current ranking evidence,Existing coverage,Missing coverage,Cannibalization risk,Classification,Recommended action,Evidence / handling note
1436,P3,نقل خاص من العراق الى الإمارات,AR,GCC country-pair expansion,Commercial,العراق,الإمارات,نقل خاص,العراق ← الإمارات,/bahrain-saudi-gcc-transport/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Cluster with an existing service page unless unique intent and enough factual content justify a new page,Medium; validate before publishing,Evaluate for genuinely useful new page,Cluster with an existing service page unless unique intent and enough factual content justify a new page,قائمة بحث شاملة؛ يجب التحقق من الجدوى قبل إنشاء صفحة
1437,P3,نقل خاص من العراق الى السعودية,AR,GCC country-pair expansion,Commercial,العراق,السعودية,نقل خاص,العراق ← السعودية,/bahrain-saudi-gcc-transport/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Cluster with an existing service page unless unique intent and enough factual content justify a new page,Medium; validate before publishing,Evaluate for genuinely useful new page,Cluster with an existing service page unless unique intent and enough factual content justify a new page,قائمة بحث شاملة؛ يجب التحقق من الجدوى قبل إنشاء صفحة
1438,P3,نقل خاص من العراق الى الكويت,AR,GCC country-pair expansion,Commercial,العراق,الكويت,نقل خاص,العراق ← الكويت,/bahrain-saudi-gcc-transport/,GSC avg position 8.48; page-one winner with CTR opportunity,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,قائمة بحث شاملة؛ يجب التحقق من الجدوى قبل إنشاء صفحة
1439,P3,نقل خاص من العراق الى عمان,AR,GCC country-pair expansion,Commercial,العراق,عمان,نقل خاص,العراق ← عمان,/bahrain-saudi-gcc-transport/,GSC avg position 7.26; mainly informational traffic,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,قائمة بحث شاملة؛ يجب التحقق من الجدوى قبل إنشاء صفحة
1440,P3,نقل خاص من العراق الى قطر,AR,GCC country-pair expansion,Commercial,العراق,قطر,نقل خاص,العراق ← قطر,/bahrain-saudi-gcc-transport/,GSC avg position 7.88; page-one winner,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,قائمة بحث شاملة؛ يجب التحقق من الجدوى قبل إنشاء صفحة
1441,P3,نقل خاص من الكويت الى الإمارات,AR,GCC country-pair expansion,Commercial,الكويت,الإمارات,نقل خاص,الكويت ← الإمارات,/bahrain-saudi-gcc-transport/,GSC avg position 8.48; page-one winner with CTR opportunity,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,قائمة بحث شاملة؛ يجب التحقق من الجدوى قبل إنشاء صفحة
1442,P3,نقل خاص من الكويت الى السعودية,AR,GCC country-pair expansion,Commercial,الكويت,السعودية,نقل خاص,الكويت ← السعودية,/bahrain-saudi-gcc-transport/,GSC avg position 8.48; page-one winner with CTR opportunity,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,قائمة بحث شاملة؛ يجب التحقق من الجدوى قبل إنشاء صفحة
1443,P3,نقل خاص من الكويت الى العراق,AR,GCC country-pair expansion,Commercial,الكويت,العراق,نقل خاص,الكويت ← العراق,/bahrain-saudi-gcc-transport/,GSC avg position 8.48; page-one winner with CTR opportunity,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,قائمة بحث شاملة؛ يجب التحقق من الجدوى قبل إنشاء صفحة
1444,P3,نقل خاص من الكويت الى عمان,AR,GCC country-pair expansion,Commercial,الكويت,عمان,نقل خاص,الكويت ← عمان,/bahrain-saudi-gcc-transport/oman-to-kuwait/,GSC avg position 8.48; page-one winner with CTR opportunity,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,قائمة بحث شاملة؛ يجب التحقق من الجدوى قبل إنشاء صفحة
1445,P3,نقل خاص من الكويت الى قطر,AR,GCC country-pair expansion,Commercial,الكويت,قطر,نقل خاص,الكويت ← قطر,/bahrain-saudi-gcc-transport/qatar-to-kuwait/,GSC avg position 7.88; page-one winner,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,قائمة بحث شاملة؛ يجب التحقق من الجدوى قبل إنشاء صفحة
1446,P3,نقل خاص من عمان الى الإمارات,AR,GCC country-pair expansion,Commercial,عمان,الإمارات,نقل خاص,عمان ← الإمارات,/bahrain-saudi-gcc-transport/,GSC avg position 7.26; mainly informational traffic,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,قائمة بحث شاملة؛ يجب التحقق من الجدوى قبل إنشاء صفحة
1447,P3,نقل خاص من عمان الى السعودية,AR,GCC country-pair expansion,Commercial,عمان,السعودية,نقل خاص,عمان ← السعودية,/bahrain-saudi-gcc-transport/,GSC avg position 7.26; mainly informational traffic,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,قائمة بحث شاملة؛ يجب التحقق من الجدوى قبل إنشاء صفحة
